#timestamp x y z qx qy qz qw id
1757693845.136187 15.758438 7.487876 -0.813988 -0.416400 -0.486261 0.605598 0.472664 67
1757693846.203974 14.583125 7.319496 -0.675373 -0.437073 -0.474605 0.590200 0.485161 68
1757693847.271306 13.499320 7.117163 -0.497850 -0.468703 -0.459241 0.555854 0.510335 69
1757693848.338663 12.549267 7.265811 -0.400176 -0.632490 -0.242438 0.374377 0.633263 70
1757693849.339957 12.342858 7.574564 -0.375425 -0.698204 -0.058943 0.179232 0.690589 71
1757693851.456669 12.006752 7.132367 -0.340625 -0.620557 -0.290295 0.350098 0.638803 73
1757693852.531864 11.426437 7.023987 -0.261893 -0.507155 -0.432108 0.497335 0.555638 74
1757693853.599577 10.474748 7.365919 -0.163402 -0.574928 -0.330236 0.456861 0.593027 75
1757693854.667099 9.662709 8.013520 -0.080639 -0.677294 -0.184724 0.296085 0.647676 76
1757693855.701414 9.211914 8.978520 -0.081030 -0.695888 -0.070790 0.170336 0.694057 77
1757693856.769008 9.021494 10.031541 -0.075900 -0.705735 -0.084048 0.159542 0.685143 78
1757693857.836473 8.763305 11.134559 -0.090793 -0.688416 -0.105133 0.183887 0.693698 79
1757693858.837193 8.291586 12.071336 -0.080510 -0.671830 -0.122108 0.202998 0.701802 80
1757693859.871292 7.588008 12.759919 -0.010950 -0.628861 -0.236452 0.319981 0.668009 81
1757693860.938709 6.849941 13.058207 0.048871 -0.468078 -0.451812 0.508714 0.563897 82
1757693862.006147 6.384696 12.874813 0.164321 -0.190788 -0.644663 0.680418 0.291618 83
1757693863.006893 6.196950 12.393403 0.168997 -0.004598 -0.692498 0.711725 0.117787 84
1757693864.040976 6.245820 11.605149 0.185633 0.068600 -0.693040 0.717601 0.006222 85
1757693865.108559 6.367759 10.742476 0.168673 -0.124613 0.704368 -0.698121 0.031050 86
1757693866.176100 6.735640 9.762521 0.167718 -0.115313 0.707394 -0.696788 0.027987 87
1757693867.210215 7.210075 8.883592 0.125246 0.037865 -0.700291 0.712615 0.018386 88
1757693868.277655 7.658626 7.880979 0.107860 -0.013222 0.707241 -0.702919 -0.074438 89
1757693869.345046 7.933763 6.624451 0.142010 0.006167 -0.689019 0.721875 0.064114 90
1757693870.479192 8.073755 5.382326 0.228263 -0.016321 -0.673840 0.733532 0.087207 91
1757693871.480020 8.064416 4.399481 0.309763 -0.032450 -0.691455 0.712646 0.113895 92
1757693872.480903 7.885598 3.384851 0.382989 -0.112614 -0.660884 0.718771 0.184168 93
1757693873.548335 7.435412 2.375987 0.503214 -0.223785 -0.632170 0.686045 0.282178 94
1757693874.582399 6.685094 1.622919 0.666089 -0.336568 -0.558030 0.647722 0.394690 95
1757693875.586010 5.775174 1.264617 0.802108 -0.384173 -0.532218 0.610080 0.443799 96
1757693876.627503 4.868793 1.076927 0.956734 -0.402329 -0.497860 0.600151 0.479673 97
