filename,R_min,R_max,R_mean,R_std,G_min,G_max,G_mean,G_std,B_min,B_max,B_mean,B_std,A_min,A_max,A_mean,A_std,Y_min,Y_max,Y_mean,Y_std,vertex_count
mesh_233836.ply,29.0,221.0,114.72212219238281,43.79575729370117,28.0,202.0,113.7183609008789,42.9383544921875,18.0,190.0,112.46244049072266,42.165504455566406,255.0,255.0,255.0,0.0,28.709999084472656,204.01780700683594,113.8410873413086,42.99564743041992,40619
mesh_233839.ply,14.0,215.0,112.70904541015625,43.34221649169922,15.0,198.0,111.08964538574219,41.479698181152344,11.0,190.0,108.63955688476562,39.96831130981445,255.0,255.0,255.0,0.0,14.570798873901367,199.0189971923828,111.25701904296875,41.60918426513672,44265
mesh_233842.ply,9.0,215.0,109.58941650390625,39.389652252197266,13.0,209.0,107.62091064453125,37.74549865722656,7.0,230.0,103.99869537353516,37.841339111328125,255.0,255.0,255.0,0.0,12.005199432373047,208.60279846191406,107.77789306640625,37.87599563598633,56736
mesh_233845.ply,5.0,215.0,112.0997314453125,36.8726806640625,10.0,198.0,110.41715240478516,35.51863098144531,8.0,210.0,107.20439910888672,36.342323303222656,255.0,255.0,255.0,0.0,8.792600631713867,199.0189971923828,110.54290008544922,35.63984298706055,61654
mesh_233848.ply,5.0,215.0,113.47674560546875,35.578102111816406,10.0,198.0,111.57650756835938,34.20875930786133,8.0,219.0,109.91484832763672,35.243194580078125,255.0,255.0,255.0,0.0,8.792600631713867,199.0189971923828,111.86051177978516,34.339569091796875,67290
mesh_233851.ply,5.0,215.0,110.7088623046875,35.805423736572266,10.0,198.0,108.9061050415039,34.74674606323242,8.0,219.0,107.60718536376953,35.2023811340332,255.0,255.0,254.99998474121094,1.52587890625e-05,8.792600631713867,199.0189971923828,109.19558715820312,34.785736083984375,68503
mesh_233854.ply,5.0,215.0,115.29875183105469,33.74245834350586,10.0,198.0,113.9270248413086,33.620574951171875,8.0,219.0,113.04886627197266,34.03922653198242,255.0,255.0,255.00001525878906,1.52587890625e-05,8.792600631713867,199.0189971923828,114.1552505493164,33.502845764160156,94417
mesh_233858.ply,16.0,188.0,114.16484069824219,32.30675506591797,17.0,196.0,113.51697540283203,33.5181884765625,9.0,219.0,113.84974670410156,34.34346008300781,255.0,255.0,255.00001525878906,1.52587890625e-05,17.285999298095703,195.9597930908203,113.6787338256836,33.21540451049805,77777
mesh_233901.ply,19.0,188.0,110.00685119628906,33.587799072265625,18.0,196.0,109.78324890136719,35.135318756103516,9.0,219.0,110.93186950683594,35.390960693359375,255.0,255.0,255.0,0.0,18.284799575805664,195.9597930908203,109.91372680664062,34.73258972167969,66566
mesh_233904.ply,19.0,183.0,109.6762466430664,33.96985626220703,18.0,172.0,109.73419189453125,35.438846588134766,19.0,187.0,111.17300415039062,35.139896392822266,255.0,255.0,255.0,0.0,18.284799575805664,174.19419860839844,109.82575988769531,35.036380767822266,65529
mesh_233906.ply,19.0,183.0,108.60904693603516,34.99882507324219,18.0,173.0,108.72235107421875,36.28895568847656,19.0,171.0,109.5013656616211,35.872745513916016,255.0,255.0,255.0,0.0,18.284799575805664,174.41200256347656,108.75450134277344,35.92862319946289,68172
